Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match Type
12,33,22,1,0,54.54,2,lbw,1,Sri Lanka,Dambulla,18-08-2008,ODI
37,82,67,6,0,55.22,2,caught,2,Sri Lanka,Dambulla,20-08-2008,ODI
25,40,38,4,0,65.78,1,run out,1,Sri Lanka,Colombo (RPS),24-08-2008,ODI
54,87,66,7,0,81.81,1,bowled,1,Sri Lanka,Colombo (RPS),27-08-2008,ODI
31,45,46,3,1,67.39,1,lbw,2,Sri Lanka,Colombo (RPS),29-08-2008,ODI
2,6,2,0,0,100,7,not out,1,Sri Lanka,Colombo (RPS),14-09-2009,ODI
16,28,24,1,0,66.66,4,caught,2,Pakistan,Centurion,26-09-2009,ODI
,,,,,,,,,Australia,Centurion,28-09-2009,ODI
79,121,104,9,2,75.96,4,not out,2,West Indies,Johannesburg,30-09-2009,ODI
30,53,41,3,0,73.17,4,caught,2,Australia,Vadodara,25-10-2009,ODI
10,32,16,1,0,62.5,3,caught,2,Australia,Mohali,02-11-2009,ODI
27,20,19,4,0,142.1,7,bowled,1,Sri Lanka,Rajkot,15-12-2009,ODI
54,93,65,7,0,83.07,4,lbw,1,Sri Lanka,Nagpur,18-12-2009,ODI
107,-,114,11,1,93.85,4,caught,2,Sri Lanka,Eden Gardens,24-12-2009,ODI
,,,,,,,,,Sri Lanka,Delhi,27-12-2009,ODI
9,19,12,1,0,75,3,caught,1,Sri Lanka,Mirpur,05-01-2010,ODI
91,136,102,7,0,89.21,3,caught,2,Bangladesh,Mirpur,07-01-2010,ODI
71,98,68,9,0,104.41,3,not out,2,Sri Lanka,Mirpur,10-01-2010,ODI
102,128,95,11,0,107.36,3,not out,2,Bangladesh,Mirpur,11-01-2010,ODI
2,6,8,0,0,25,3,caught,1,Sri Lanka,Mirpur,13-01-2010,ODI
31,-,46,1,0,67.39,5,caught,1,South Africa,Jaipur,21-02-2010,ODI
,,,,,,,,,South Africa,Gwalior,24-02-2010,ODI
57,-,71,4,1,80.28,3,caught,2,South Africa,Ahmedabad,27-02-2010,ODI
0,3,0,0,0,-,3,run out,1,Zimbabwe,Bulawayo,28-05-2010,ODI
82,125,92,4,0,89.13,3,caught,2,Sri Lanka,Bulawayo,30-05-2010,ODI
18,28,29,1,0,62.06,3,caught,1,Zimbabwe,Harare,03-06-2010,ODI
68,123,95,5,0,71.57,3,caught,1,Sri Lanka,Harare,05-06-2010,ODI
11,35,22,0,0,50,3,stumped,2,Bangladesh,Dambulla,16-06-2010,ODI
18,31,27,1,0,66.66,3,bowled,2,Pakistan,Dambulla,19-06-2010,ODI
10,13,14,1,0,71.42,3,caught,1,Sri Lanka,Dambulla,22-06-2010,ODI
